,Recency,Frequency,AOV,PredictedLTV,Segment
661,7,4,175.1825,686.95325,Mid-High
662,252,1,329.56,329.68887,Mid-Low
663,86,4,165.9125,674.84973,Mid-High
664,102,3,90.13333333333334,283.2421,Low
665,193,1,600.07,601.846,Mid-Low
666,83,1,121.74000000000001,121.908676,Low
667,41,1,430.5,432.3484,Mid-Low
668,8,6,331.21666666666664,2003.9279,High
669,8,4,125.28,496.37515,Mid-Low
670,115,2,232.84,473.07968,Mid-Low
671,82,3,237.13666666666666,720.11536,Mid-High
672,147,2,515.2,1032.1089,Mid-High
673,364,1,225.7,222.09343,Low
674,2,3,232.86,688.12256,Mid-High
675,52,1,292.32,296.30725,Low
676,51,1,557.62,553.24634,Mid-Low
677,259,2,472.05,948.7584,Mid-High
678,253,1,200.29,199.71635,Low
679,1,33,215.45060606060605,7104.9297,High
680,43,5,421.532,2121.9978,High
681,1,12,319.52166666666665,3795.1318,High
682,8,18,234.46055555555554,4371.5854,High
683,8,11,292.24454545454546,3098.4126,High
684,1,14,358.0392857142857,5006.7363,High
685,356,1,590.0,602.1385,Mid-Low
686,27,1,217.38,213.65071,Low
687,21,2,138.28,270.25613,Low
688,103,1,138.98,137.42538,Low
689,54,2,295.46500000000003,592.9265,Mid-Low
690,6,4,64.6,326.59796,Mid-Low
691,31,1,542.73,553.5382,Mid-Low
692,68,1,137.75,137.9159,Low
693,112,3,271.62,808.64575,Mid-High
694,8,3,377.38000000000005,1122.7592,Mid-High
695,50,2,46.83,99.393394,Low
696,321,1,201.19,200.30296,Low
697,13,4,677.28,2749.2808,High
698,146,1,361.11,358.13028,Mid-Low
699,29,2,289.46999999999997,579.97003,Mid-Low
700,180,2,436.87,876.65405,Mid-High
701,350,1,201.20000000000002,200.30296,Low
702,127,1,87.4,75.274536,Low
703,14,3,588.7766666666666,1764.8945,High
704,258,1,142.5,139.51137,Low
705,159,1,371.89,372.32452,Mid-Low
706,94,4,154.5225,585.93915,Mid-Low
707,145,1,63.75,67.71482,Low
708,341,1,300.42,300.25687,Low
709,12,9,198.63333333333333,1800.302,High
710,110,1,15.0,12.958656,Low
711,13,3,461.83666666666664,1391.2379,Mid-High
712,35,4,305.4775,1216.7498,Mid-High
713,18,3,377.3433333333333,1126.3818,Mid-High
714,140,1,490.11,491.53375,Mid-Low
715,12,5,311.06399999999996,1526.244,Mid-High
716,53,2,294.735,592.4135,Mid-Low
717,27,4,1494.4325000000001,5986.5425,High
718,56,6,378.94666666666666,2238.3816,High
719,27,1,302.96,307.33228,Mid-Low
720,7,25,421.458,11327.817,High
721,68,4,387.175,1528.1744,Mid-High
722,62,2,283.68,576.32764,Mid-Low
723,7,1,199.48000000000002,195.69182,Low
724,12,3,118.43333333333334,347.56067,Mid-Low
725,26,10,712.1949999999999,7203.2896,High
726,72,1,675.3,660.167,Mid-High
727,29,8,453.47125,3470.5898,High
728,306,1,1308.48,1329.7162,Mid-High
729,22,2,394.5,772.2005,Mid-High
730,83,3,380.31,1137.341,Mid-High
731,4,1,350.9,346.81198,Mid-Low
732,72,3,1178.94,3511.434,High
733,67,1,795.12,740.80804,Mid-High
734,148,1,487.02,488.37302,Mid-Low
735,191,1,860.12,856.4646,Mid-High
736,35,7,1533.782857142857,10706.192,High
737,251,1,775.85,768.2246,Mid-High
738,168,1,353.43,353.5334,Mid-Low
739,58,3,847.9066666666666,2566.0693,High
740,278,1,389.5,388.30847,Mid-Low
741,60,1,341.36,338.73077,Mid-Low
742,54,1,233.76,235.72755,Low
743,1,1,247.32,231.25455,Low
744,6,2,489.56,999.1569,Mid-High
745,56,1,373.94,379.80206,Mid-Low
746,50,1,397.97999999999996,414.6533,Mid-Low
747,61,1,743.53,769.8026,Mid-High
748,112,1,674.7,659.2691,Mid-High
749,70,1,768.24,769.1225,Mid-High
750,247,1,609.95,626.4542,Mid-Low
751,259,1,439.03,432.69217,Mid-Low
752,54,1,439.56,433.2486,Mid-Low
753,43,3,779.2133333333333,2340.6228,High
754,8,2,496.25,992.2526,Mid-High
755,61,1,134.95999999999998,137.9159,Low
756,24,2,1112.685,2220.4946,High
757,40,1,56.160000000000004,56.666157,Low
758,247,2,311.7,617.36957,Mid-Low
759,356,1,308.28000000000003,307.10635,Mid-Low
760,362,1,754.87,768.2246,Mid-High
761,80,1,378.64,380.68893,Mid-Low
762,51,3,1104.0833333333333,3267.6511,High
763,79,1,778.65,782.4696,Mid-High
764,89,3,339.92,1023.94635,Mid-High
765,16,3,190.85333333333332,566.33044,Mid-Low
766,22,6,606.5516666666666,3743.121,High
767,271,1,222.99,219.82018,Low
768,21,7,593.1328571428572,4132.18,High
769,320,1,534.57,518.602,Mid-Low
770,121,2,338.55,695.66156,Mid-High
771,1,3,265.9866666666667,777.26105,Mid-High
772,65,1,544.08,553.5382,Mid-Low
773,194,1,59.8,59.472668,Low
774,44,7,316.8457142857143,2218.6716,High
775,175,1,307.72,307.10635,Mid-Low
776,19,2,680.495,1312.0522,Mid-High
777,63,5,308.826,1527.982,Mid-High
778,182,1,457.34,455.24072,Mid-Low
779,117,2,310.615,617.36957,Mid-Low
780,8,1,75.0,70.95246,Low
781,203,1,217.81,210.53699,Low
782,64,3,190.817,565.6173,Mid-Low
783,1,59,452.68508474576277,26703.383,High
784,14,5,200.612,996.5273,Mid-High
785,97,1,213.55,206.4671,Low
786,124,3,463.5,1397.1486,Mid-High
787,34,2,356.25,725.67706,Mid-High
788,195,1,236.0,238.49579,Low
789,2,18,340.4127777777778,6053.6265,High
790,54,1,221.06,220.37659,Low
791,140,2,79.925,155.64708,Low
792,30,2,925.54,1871.0714,High
793,54,1,2626.3,2594.0376,High
794,98,3,541.4033333333333,1632.1764,High
795,17,8,381.3825,3042.8982,High
796,9,3,194.20000000000002,588.0189,Mid-Low
797,1,4,251.7,1012.517,Mid-High
798,9,2,339.725,692.2018,Mid-High
799,57,2,634.55,1221.6093,Mid-High
800,64,2,267.12,520.1046,Mid-Low
801,14,6,561.265,3327.6465,High
802,4,7,486.86571428571426,3510.842,High
803,245,1,283.71,288.84888,Low
804,82,1,296.64,296.94894,Low
805,13,3,376.38000000000005,1137.9331,Mid-High
806,7,6,589.895,3497.4949,High
807,14,1,291.88,291.4631,Low
808,17,6,340.61999999999995,2061.358,High
809,16,5,595.23,2772.336,High
810,249,2,295.0,592.37006,Mid-Low
811,156,2,178.48999999999998,351.03308,Mid-Low
812,15,2,529.17,1067.6992,Mid-High
813,8,6,294.4533333333333,1762.4559,High
814,13,13,697.0807692307692,9077.773,High
815,19,2,91.72,189.84691,Low
816,29,3,481.6666666666667,1441.4022,Mid-High
817,243,1,151.5,153.49344,Low
818,48,1,674.68,660.167,Mid-High
819,174,1,307.9,307.10635,Mid-Low
820,1,2,541.855,1111.0125,Mid-High
821,8,35,154.9722857142857,5442.699,High
822,89,2,82.5,164.06004,Low
823,12,2,773.2,1561.072,Mid-High
824,51,2,211.32,434.04355,Mid-Low
825,226,1,229.59,223.55463,Low
826,181,4,357.945,1426.2827,Mid-High
827,169,2,619.235,1247.8485,Mid-High
828,28,6,242.42999999999998,1434.6104,Mid-High
829,191,2,150.475,305.62833,Mid-Low
830,36,5,360.912,1819.8016,High
831,222,1,184.64,187.0205,Low
832,56,1,140.34,137.9159,Low
833,231,1,313.8,316.99158,Mid-Low
834,223,1,454.24,455.24072,Mid-Low
835,68,3,374.1366666666667,1121.8265,Mid-High
836,48,3,191.79999999999998,565.6173,Mid-Low
837,7,13,689.87,8995.655,High
838,95,4,112.38,430.64435,Mid-Low
839,42,10,121.582,1197.3224,Mid-High
840,126,3,423.28,1316.5743,Mid-High
841,265,2,309.315,617.36957,Mid-Low
842,302,1,316.26000000000005,316.99158,Mid-Low
843,26,4,433.0575,1721.3479,High
844,1,2,326.665,646.6024,Mid-Low
845,273,2,174.025,332.3859,Mid-Low
846,8,5,231.82199999999997,1142.0994,Mid-High
847,13,3,388.92333333333335,1160.2286,Mid-High
848,278,1,1340.32,1329.7162,Mid-High
849,7,3,97.33333333333333,299.20303,Low
850,61,1,216.85,211.0934,Low
851,54,1,295.93,296.82025,Low
852,63,4,1098.4075,4252.0674,High
853,306,2,229.26,471.0983,Mid-Low
854,88,3,674.2633333333333,2036.1123,High
855,234,1,110.97,107.877205,Low
856,43,6,146.93666666666667,893.1132,Mid-High
857,35,3,483.23333333333335,1441.4022,Mid-High
858,251,1,251.21,246.3105,Low
859,117,1,205.1,202.56818,Low
860,64,1,152.20000000000002,153.98395,Low
861,63,4,222.78,894.89764,Mid-High
862,11,3,463.1366666666667,1391.2379,Mid-High
863,50,3,709.4733333333334,2143.4175,High
864,76,1,659.4399999999999,661.82794,Mid-High
865,68,1,122.75,121.779976,Low
866,49,6,604.0583333333333,3733.3865,High
867,20,1,125.80000000000001,118.82771,Low
868,23,5,792.976,3986.6345,High
869,31,5,136.036,677.4514,Mid-High
870,5,2,314.39,628.5507,Mid-Low
871,24,7,326.7871428571429,2287.6082,High
872,69,2,153.88,308.72122,Mid-Low
873,195,2,241.9,492.45218,Mid-Low
874,24,1,210.31,207.19655,Low
875,173,3,90.26333333333334,280.59076,Low
876,23,24,229.70333333333335,5514.6943,High
877,10,4,497.71,1999.651,High
878,33,7,182.97857142857143,1214.6818,Mid-High
879,76,3,210.4466666666667,642.68646,Mid-Low
880,30,2,145.705,304.04526,Low
881,2,3,208.99666666666667,642.16785,Mid-Low
882,86,2,341.205,694.5922,Mid-High
883,16,7,131.17142857142858,928.20514,Mid-High
884,309,1,91.80000000000001,98.76626,Low
885,56,12,311.6725,3738.9531,High
886,64,4,1037.32,4135.756,High
887,18,2,292.03,589.4613,Mid-Low
888,14,3,160.79333333333332,478.37808,Mid-Low
889,206,1,141.85999999999999,139.51137,Low
890,72,3,599.7766666666666,1800.1686,High
891,74,2,388.765,775.00037,Mid-High
892,134,3,583.0066666666667,1701.4009,High
893,9,2,120.11,247.6391,Low
894,31,2,437.355,877.2105,Mid-High
895,163,1,192.85,192.68239,Low
896,7,2,186.875,372.61044,Mid-Low
897,233,1,239.49,241.8767,Low
898,3,12,174.36,2110.8525,High
899,196,1,1384.25,1365.4698,Mid-High
900,40,2,147.2,304.04526,Low
901,13,5,146.414,725.8532,Mid-High
902,7,17,375.8741176470589,6364.23,High
903,15,4,421.90000000000003,1638.334,High
904,5,2,233.52,488.11108,Mid-Low
905,299,1,118.0,109.79598,Low
906,146,1,781.03,784.9652,Mid-High
907,297,1,142.4,139.51137,Low
908,54,1,712.4,693.034,Mid-High
909,6,9,275.43888888888887,2453.5786,High
910,5,2,189.825,377.44833,Mid-Low
911,1,6,330.32,2008.4009,High
912,55,3,372.3766666666667,1110.331,Mid-High
913,26,4,61.989999999999995,245.00873,Low
914,98,5,407.41600000000005,2046.7678,High
915,43,1,396.97,414.6533,Mid-Low
916,3,1,411.6,408.88046,Mid-Low
917,37,1,180.17000000000002,183.78821,Low
918,1,19,254.42052631578946,4858.212,High
919,302,1,219.52,221.07297,Low
920,35,2,346.66,696.218,Mid-High
921,55,1,428.89,430.92706,Mid-Low
922,16,1,164.34,161.73628,Low
923,19,3,93.51333333333332,296.3936,Low
924,30,1,678.01,664.6917,Mid-High
925,2,7,161.69714285714286,1123.7123,Mid-High
926,79,3,390.59999999999997,1149.2157,Mid-High
927,14,4,402.615,1590.097,Mid-High
928,309,1,417.69,417.1648,Mid-Low
929,30,3,181.39333333333332,544.4715,Mid-Low
930,164,1,177.34,181.28273,Low
931,107,1,213.85,210.53699,Low
932,21,5,149.55599999999998,727.1053,Mid-High
933,243,1,257.23,251.89325,Low
934,49,5,327.694,1642.7747,High
935,13,11,708.3963636363636,7787.0273,High
936,66,6,299.9633333333333,1779.3816,High
937,90,11,279.1290909090909,3178.397,High
938,15,5,424.254,2115.3306,High
939,23,5,315.03200000000004,1571.9921,Mid-High
940,58,1,1071.03,1131.3046,Mid-High
941,27,5,189.824,935.04816,Mid-High
942,42,3,270.1666666666667,809.2022,Mid-High
943,6,1,122.64,123.58801,Low
944,64,1,1033.34,1010.89386,Mid-High
945,206,1,354.8,353.5334,Mid-Low
946,21,3,173.14666666666668,499.0289,Mid-Low
947,6,4,656.065,2642.357,High
948,110,1,252.1,249.42259,Low
949,61,3,425.3,1317.1307,Mid-High
950,247,2,173.3,332.3859,Mid-Low
951,7,6,306.0566666666667,1818.8254,High
952,25,2,47.1,101.9507,Low
953,36,3,365.02666666666664,1076.5428,Mid-High
954,33,6,451.22166666666664,2770.4666,High
955,104,2,466.485,948.7584,Mid-High
956,155,2,189.825,375.14972,Mid-Low
957,1,2,191.07,377.50427,Mid-Low
958,75,3,698.9233333333333,2141.711,High
959,196,2,786.6,1531.0979,Mid-High
960,76,3,299.25333333333333,906.45,Mid-High
961,169,1,189.47,191.00673,Low
962,50,3,28.21666666666667,81.65174,Low
963,139,1,305.02,304.21854,Low
964,1,20,293.375,5938.0986,High
965,41,2,109.275,217.8696,Low
966,65,1,349.7,353.71194,Mid-Low
967,291,2,93.19500000000001,192.30865,Low
968,9,2,198.46,394.94617,Mid-Low
969,141,2,243.41000000000003,492.45218,Mid-Low
970,142,1,232.6,225.53603,Low
971,29,3,1028.0133333333333,3125.2634,High
972,8,4,206.9575,832.20526,Mid-High
973,177,1,59.5,59.472668,Low
974,276,1,67.23,67.71482,Low
975,35,3,644.8166666666667,2013.791,High
976,173,1,72.0,70.56797,Low
977,53,1,910.0,896.3406,Mid-High
978,49,1,172.25,182.44792,Low
979,15,3,496.1066666666666,1486.1396,Mid-High
980,16,47,1317.2012765957447,61909.875,High
981,21,15,166.942,2507.7922,High
982,29,1,151.29999999999998,153.98395,Low
983,145,1,308.58000000000004,307.10635,Mid-Low
984,16,10,226.512,2268.829,High
985,308,1,99.5,101.44845,Low
986,12,8,267.9225,2107.0913,High
987,135,2,261.34,512.5557,Mid-Low
988,293,1,330.79,331.7072,Mid-Low
989,257,2,403.205,775.4065,Mid-High
990,261,1,296.88,296.26382,Low
991,27,11,527.2490909090909,5720.513,High
992,22,1,180.48,181.17104,Low
993,209,2,126.03,249.73874,Low
994,237,1,228.84,223.55463,Low
995,271,5,215.868,1048.9608,Mid-High
996,259,1,138.28,137.42538,Low
997,22,6,240.835,1440.2865,Mid-High
998,236,2,153.275,308.23068,Mid-Low
999,5,5,208.336,1041.0635,Mid-High
1000,107,4,199.975,806.73553,Mid-High
1001,26,1,524.14,520.6261,Mid-Low
1002,122,3,791.8033333333333,2434.713,High
1003,207,1,199.85000000000002,199.71635,Low
1004,40,8,247.57,2032.8744,High
1005,29,2,539.8299999999999,1090.6902,Mid-High
1006,19,2,166.74,321.63232,Mid-Low
1007,27,6,169.35666666666665,1023.0366,Mid-High
1008,126,2,376.3,765.91187,Mid-High
1009,209,2,305.295,606.8939,Mid-Low
1010,18,1,491.86,485.90875,Mid-Low
1011,15,4,721.3100000000001,2890.4932,High
1012,250,1,357.53,353.5334,Mid-Low
1013,190,1,339.59999999999997,338.17435,Mid-Low
1014,8,1,216.9,210.03418,Low
1015,231,1,350.75,349.99646,Mid-Low
1016,62,3,222.81000000000003,674.68945,Mid-High
1017,7,12,260.91833333333335,3325.862,High
1018,79,6,177.64,1091.6528,Mid-High
1019,85,2,578.18,1168.5354,Mid-High
1020,152,1,300.04,300.25687,Low
1021,364,1,79.6,73.616425,Low
1022,86,5,189.65,940.74854,Mid-High
1023,44,5,329.452,1649.9971,High
1024,278,1,296.25,296.26382,Low
1025,114,6,197.71333333333334,1179.2065,Mid-High
1026,278,1,741.26,768.9047,Mid-High
1027,142,2,141.29999999999998,276.27917,Low
1028,8,7,271.34285714285716,1936.0791,High
1029,13,12,361.9266666666667,4195.6235,High
1030,2,7,455.79285714285714,3160.263,High
1031,23,2,329.70500000000004,659.61053,Mid-High
1032,44,2,143.395,278.85568,Low
1033,40,2,535.325,1090.6902,Mid-High
1034,209,1,306.72,307.10635,Mid-Low
1035,53,1,1714.96,1732.8735,High
1036,61,3,507.25333333333333,1501.4037,Mid-High
1037,16,36,453.7327777777778,16333.658,High
1038,27,9,275.3988888888889,2472.4084,High
1039,54,4,658.6125,2686.5852,High
1040,24,3,377.3766666666667,1133.657,Mid-High
1041,72,1,345.0,338.73077,Mid-Low
1042,15,30,782.0136666666666,27055.023,High
1043,93,1,178.7,182.72122,Low
1044,161,1,116.28000000000002,109.79598,Low
1045,241,1,127.84,121.28946,Low
1046,3,6,152.0,914.46765,Mid-High
1047,48,10,242.46300000000002,2335.532,High
1048,357,1,230.39999999999998,225.53603,Low
1049,66,2,154.52,308.72122,Mid-Low
1050,118,2,758.0,1497.6727,Mid-High
1051,56,2,97.775,195.35712,Low
1052,2,54,654.0112962962963,41996.797,High
1053,107,2,344.43,695.66156,Mid-High
1054,300,1,558.32,553.4529,Mid-Low
1055,57,1,324.8,328.26334,Mid-Low
1056,129,3,1533.14,4561.996,High
1057,245,1,277.07,284.74832,Low
1058,21,7,376.5414285714286,2565.0598,High
1059,42,2,462.3,922.37036,Mid-High
1060,54,1,256.38,252.44966,Low
1061,357,1,112.6,107.877205,Low
1062,37,4,379.625,1495.213,Mid-High
1063,295,1,155.05,158.08684,Low
1064,19,3,499.67,1482.5962,Mid-High
1065,174,3,271.5,808.64575,Mid-High
1066,32,3,179.66666666666666,544.4715,Mid-Low
1067,30,4,341.71500000000003,1372.833,Mid-High
1068,82,2,789.56,1529.0332,Mid-High
1069,12,4,1006.84,4003.4734,High
1070,14,2,285.83500000000004,572.1612,Mid-Low
1071,19,2,191.49,372.68802,Mid-Low
1072,292,3,380.1166666666666,1130.204,Mid-High
1073,135,2,192.82,414.40308,Mid-Low
1074,30,1,468.38,463.27325,Mid-Low
1075,9,2,478.83,979.58856,Mid-High
1076,23,5,339.788,1729.9125,High
1077,166,1,189.5,191.00673,Low
1078,48,3,137.35,420.50638,Mid-Low
1079,12,1,209.49,203.48962,Low
1080,6,6,367.16499999999996,2180.0806,High
1081,9,1,52.199999999999996,54.076042,Low
1082,149,1,384.8,385.752,Mid-Low
1083,15,4,208.6425,833.85565,Mid-High
1084,202,2,135.62,272.38275,Low
1085,108,3,159.86333333333332,479.47214,Mid-Low
1086,243,1,85.0,75.274536,Low
1087,49,9,376.18,3435.2454,High
1088,1,1,361.62,355.29712,Mid-Low
1089,55,1,312.98,320.65967,Mid-Low
1090,15,3,288.35333333333335,875.0034,Mid-High
1091,82,3,418.3333333333333,1253.4463,Mid-High
1092,42,2,768.975,1498.5707,Mid-High
1093,119,1,1595.48,1610.2826,High
1094,86,3,883.82,2633.4343,High
1095,47,1,1090.14,1123.2214,Mid-High
1096,14,24,325.3016666666667,7838.204,High
1097,159,3,129.5,394.1337,Mid-Low
1098,47,1,216.17,211.0934,Low
1099,316,1,201.16,200.30296,Low
1100,4,4,231.6125,909.9012,Mid-High
1101,8,8,276.17,2145.1091,High
1102,238,1,305.78,304.21854,Low
1103,48,4,125.39,501.57846,Mid-Low
1104,64,1,145.67000000000002,151.91034,Low
1105,21,3,338.43,1013.6701,Mid-High
1106,29,1,507.54,499.09,Mid-Low
1107,113,4,776.2375,3105.4211,High
1108,30,7,374.02714285714285,2545.4277,High
1109,13,13,492.5576923076923,6343.0796,High
1110,110,3,129.86666666666667,394.1337,Mid-Low
1111,348,1,540.45,538.34454,Mid-Low
1112,44,5,357.358,1813.784,High
1113,54,1,122.7,121.779976,Low
1114,76,1,117.24,110.4152,Low
1115,45,1,1281.53,1283.2316,Mid-High
1116,11,13,247.67461538461538,3212.3306,High
1117,1,19,873.1789473684212,20979.145,High
1118,1,4,249.5125,999.93677,Mid-High
1119,1,5,534.896,2722.4707,High
1120,79,4,135.125,540.54944,Mid-Low
1121,179,2,253.4,499.99805,Mid-Low
1122,61,1,243.56,242.4331,Low
1123,194,1,349.55,353.15552,Mid-Low
1124,110,2,302.815,606.8939,Mid-Low
1125,83,1,416.90000000000003,417.8499,Mid-Low
1126,12,7,195.37285714285716,1321.7812,Mid-High
1127,17,4,158.2425,668.14496,Mid-High
1128,288,1,821.1,803.72375,Mid-High
1129,14,3,188.20666666666668,564.0327,Mid-Low
1130,18,4,648.2675,2677.8264,High
1131,40,1,311.16,309.6191,Mid-Low
1132,316,1,155.93,158.08684,Low
1133,6,2,194.26,396.8899,Mid-Low
1134,173,3,246.98333333333335,727.5999,Mid-High
1135,62,5,573.4399999999999,2823.9895,High
1136,27,2,166.32,327.14188,Mid-Low
1137,70,4,592.3875,2371.386,High
1138,47,9,286.7677777777778,2515.364,High
1139,2,2,313.225,632.0072,Mid-Low
1140,40,2,136.02,272.8733,Low
1141,40,2,606.4200000000001,1226.171,Mid-High
1142,49,2,192.405,375.64026,Mid-Low
1143,342,1,172.25,181.95741,Low
1144,44,1,351.13,350.5529,Mid-Low
1145,8,5,307.29,1534.8151,Mid-High
1146,83,4,169.5625,700.40015,Mid-High
1147,13,1,223.85000000000002,218.79193,Low
1148,65,1,348.99,353.71194,Mid-Low
1149,1,4,116.1425,427.9874,Mid-Low
1150,159,2,421.325,870.00525,Mid-High
1151,48,2,168.67,324.58456,Mid-Low
1152,86,2,618.765,1247.8373,Mid-High
1153,285,1,307.4,307.10635,Mid-Low
1154,99,2,304.39500000000004,607.20654,Mid-Low
1155,254,1,922.1,919.0458,Mid-High
1156,170,1,376.58,380.0038,Mid-Low
1157,159,1,158.85,160.5327,Low
1158,25,1,71.66,72.006424,Low
1159,13,3,189.51666666666665,564.0327,Mid-Low
1160,7,4,209.785,833.12164,Mid-High
1161,12,5,1022.592,5175.627,High
1162,69,3,187.18999999999997,562.7303,Mid-Low
1163,55,1,90.6,94.03844,Low
1164,351,1,102.0,102.392525,Low
1165,15,5,381.818,1913.3456,High
1166,1,4,186.265,750.96576,Mid-High
1167,166,3,224.8166666666667,676.40625,Mid-High
1168,208,2,1625.5355,3280.483,High
1169,43,6,517.3933333333333,3114.206,High
1170,61,1,227.41,224.11104,Low
1171,144,2,161.48,315.02377,Mid-Low
1172,44,4,217.48,856.1491,Mid-High
1173,69,3,199.4,596.27155,Mid-Low
1174,11,2,115.11,223.04756,Low
1175,12,2,84.775,162.65332,Low
1176,298,4,166.135,690.0472,Mid-High
1177,136,1,80.7,73.616425,Low
1178,7,16,494.5025,7922.098,High
1179,9,8,344.7825,2769.5508,High
1180,61,2,95.125,194.51901,Low
1181,277,1,264.7,264.67572,Low
1182,39,1,413.59000000000003,417.31168,Mid-Low
1183,21,6,421.0466666666667,2642.0552,High
1184,197,1,357.98,353.5334,Mid-Low
1185,5,2,98.39500000000001,197.16515,Low
1186,63,1,869.87,857.3625,Mid-High
1187,50,1,200.14,200.20686,Low
1188,29,4,467.9525,1839.672,High
1189,20,12,216.9525,2727.8704,High
1190,17,5,184.102,920.43677,Mid-High
1191,5,14,493.755,6901.597,High
1192,7,1,320.46,312.08575,Mid-Low
1193,10,6,691.3266666666667,4161.3833,High
1194,56,2,633.04,1221.6093,Mid-High
1195,203,1,311.3,309.06268,Mid-Low
1196,2,6,142.66166666666666,867.31055,Mid-High
1197,20,1,76.8,69.0594,Low
1198,33,9,385.1511111111111,3467.5703,High
1199,30,5,439.408,2202.7148,High
1200,5,5,278.738,1368.5681,Mid-High
1201,19,11,318.7127272727273,3551.203,High
1202,201,1,635.66,615.2677,Mid-Low
1203,36,3,681.0266666666668,2082.6917,High
1204,124,2,264.865,519.54816,Mid-Low
1205,33,7,654.6628571428572,4518.04,High
1206,66,4,244.42,1002.84656,Mid-High
1207,106,3,320.73,945.0334,Mid-High
1208,188,2,347.805,695.66156,Mid-High
1209,268,1,328.8,329.68887,Mid-Low
1210,100,3,157.67333333333332,482.12347,Mid-Low
1211,67,1,505.18,499.09,Mid-Low
1212,43,1,917.34,902.2452,Mid-High
1213,152,4,1085.3025,4210.547,High
1214,37,3,473.86999999999995,1424.1578,Mid-High
1215,7,2,321.4,629.3733,Mid-Low
1216,145,3,210.63333333333333,635.5495,Mid-Low
1217,215,1,440.0,432.69217,Mid-Low
1218,240,1,273.14,276.71616,Low
1219,112,2,163.85,315.02377,Mid-Low
1220,51,1,104.82,103.83214,Low
1221,53,2,233.83,486.30304,Mid-Low
1222,8,8,295.01125,2194.3218,High
1223,11,18,932.2077777777779,16792.912,High
1224,6,10,279.24699999999996,2804.8613,High
1225,12,3,217.2733333333333,640.97546,Mid-Low
1226,19,5,285.604,1443.6152,Mid-High
1227,275,1,626.65,615.2677,Mid-Low
1228,166,2,73.60000000000001,136.47285,Low
1229,68,3,520.1266666666667,1568.0323,Mid-High
1230,23,1,152.2,156.54126,Low
1231,31,12,301.24333333333334,3661.8643,High
1232,256,1,141.41,137.42538,Low
1233,17,4,163.205,668.14496,Mid-High
1234,99,4,414.9375,1628.1832,High
1235,274,1,154.99,158.08684,Low
1236,63,4,239.365,998.4127,Mid-High
1237,295,1,409.93,419.38467,Mid-Low
1238,7,4,1420.43,5682.942,High
1239,22,2,373.18,749.0033,Mid-High
1240,7,21,649.8661904761905,13602.33,High
1241,10,1,225.36,221.06519,Low
1242,114,2,130.125,256.2469,Low
1243,55,1,92.46,99.256775,Low
1244,96,1,725.6400000000001,765.29767,Mid-High
1245,5,22,354.0740909090909,7754.9326,High
1246,14,17,365.76235294117646,6243.375,High
1247,257,1,183.6,186.13237,Low
1248,12,18,324.6077777777778,5834.423,High
1249,62,11,838.679090909091,9192.751,High
1250,19,5,270.748,1336.316,Mid-High
1251,257,1,152.55,153.49344,Low
1252,54,2,187.35,372.75323,Mid-Low
1253,310,1,265.85,264.67572,Low
1254,9,6,214.04,1247.689,Mid-High
1255,22,1,151.04,151.36678,Low
1256,10,2,312.74,633.7856,Mid-Low
1257,119,1,122.47,121.28946,Low
1258,31,5,99.88399999999999,518.8473,Mid-Low
1259,92,6,174.89499999999998,1037.7308,Mid-High
1260,115,1,375.1,380.0038,Mid-Low
1261,23,1,45.599999999999994,43.227776,Low
1262,292,2,467.26,948.7584,Mid-High
1263,355,1,182.25,186.13237,Low
1264,116,7,78.41714285714285,544.8986,Mid-Low
1265,35,14,252.76642857142858,3544.7412,High
1266,5,12,4034.6666666666665,48437.992,High
1267,47,1,161.0,161.02321,Low
1268,315,1,76.32000000000001,71.521126,Low
1269,14,12,310.2041666666667,3719.4995,High
1270,2,1,442.85,426.93658,Mid-Low
1271,1,16,3514.300625,56191.902,High
1272,27,1,147.35,154.46765,Low
1273,6,11,282.1972727272727,3102.2766,High
1274,128,1,194.9,194.6282,Low
1275,64,6,996.1316666666667,5995.2373,High
1276,2,4,310.445,1234.7408,Mid-High
1277,145,2,108.10499999999999,217.05309,Low
1278,229,1,1266.23,1240.4565,Mid-High
1279,42,7,386.17571428571426,2604.4927,High
1280,21,2,298.955,596.89844,Mid-Low
1281,63,1,144.2,140.00188,Low
1282,12,11,487.06454545454545,5356.3975,High
1283,4,4,173.2125,688.9041,Mid-High
1284,13,7,416.45,2971.0034,High
1285,13,3,456.17333333333335,1391.2379,Mid-High
1286,264,2,193.265,414.40308,Mid-Low
1287,10,5,276.548,1357.6349,Mid-High
1288,134,1,90.0,93.54792,Low
1289,20,2,740.255,1474.9119,Mid-High
1290,74,1,419.58000000000004,417.8499,Mid-Low
1291,1,3,913.4766666666666,2693.3005,High
1292,1,2,321.81500000000005,650.3131,Mid-Low
1293,113,3,236.57000000000002,712.9784,Mid-High
1294,51,2,318.75,637.6089,Mid-Low
1295,8,4,242.82,1001.22974,Mid-High
1296,309,1,483.86,481.71313,Mid-Low
1297,5,10,327.09000000000003,3256.3054,High
1298,120,3,201.88,603.0582,Mid-Low
1299,22,13,326.7238461538461,4192.7573,High
1300,54,1,638.21,645.0917,Mid-Low
1301,36,1,415.82,417.72122,Mid-Low
1302,22,1,540.99,531.6812,Mid-Low
1303,50,3,229.59333333333336,676.9627,Mid-High
1304,363,1,311.81,309.06268,Mid-Low
